Id,Y,M,D,输出
59,1990,12,0,输入错误
60,2077,13,0,输入错误
61,2110,0,0,输入错误
62,1890,1,0,输入错误
63,1900,2,0,输入错误
64,1930,7,0,输入错误
65,1990,10,0,输入错误
66,2077,12,0,输入错误
67,2100,13,0,输入错误
68,1890,0,1,输入错误
69,1900,1,1,1900/1/2
70,1930,2,1,1930/2/2
71,2077,10,1,2077/10/2
72,2100,12,1,2100/12/2
73,2110,13,1,输入错误
74,1900,0,1,输入错误
75,1930,1,1,1930/1/2
76,1990,2,1,1990/2/2
77,2077,7,1,2077/7/2
78,2100,10,1,2100/10/2
79,2110,12,1,输入错误
80,1890,13,1,输入错误
81,1930,0,1,输入错误
82,1990,1,1,1990/1/2
83,2077,2,1,2077/2/2
84,2100,7,1,2100/7/2
85,2110,10,1,输入错误
86,1890,12,1,输入错误
87,1900,13,1,输入错误
88,1990,0,1,输入错误
89,2077,1,1,2077/1/2
90,2100,2,1,2100/2/2
91,2110,7,1,输入错误
92,1890,10,1,输入错误
93,1900,12,1,1900/12/2
94,1930,13,1,输入错误
95,2077,0,1,输入错误
96,2100,1,1,2100/1/2
97,2110,2,1,输入错误
98,1890,7,1,输入错误
99,1900,10,1,1900/10/2
100,1930,12,1,1930/12/2
101,1990,13,1,输入错误
102,2100,0,1,输入错误
103,2110,1,1,输入错误
104,1890,2,1,输入错误
105,1900,7,1,1900/7/2
106,1930,10,1,1930/10/2
107,1990,12,1,1990/12/2
108,2077,13,1,输入错误
109,2110,0,1,输入错误
110,1890,1,1,输入错误
111,1900,2,1,1900/2/2
112,1930,7,1,1930/7/2
113,1990,10,1,1990/10/2
114,2077,12,1,2077/12/2
115,2100,13,1,输入错误
116,1890,0,5,输入错误
117,1900,1,5,1900/1/6
118,1930,2,5,1930/2/6
119,2077,10,5,2077/10/6
120,2100,12,5,2100/12/6
121,2110,13,5,输入错误
122,1900,0,5,输入错误
123,1930,1,5,1930/1/6
124,1990,2,5,1990/2/6
125,2077,7,5,2077/7/6
126,2100,10,5,2100/10/6
127,2110,12,5,输入错误
128,1890,13,5,输入错误
129,1930,0,5,输入错误
130,1990,1,5,1990/1/6
131,2077,2,5,2077/2/6
132,2100,7,5,2100/7/6
133,2110,10,5,输入错误
134,1890,12,5,输入错误
135,1900,13,5,输入错误
136,1990,0,5,输入错误
137,2077,1,5,2077/1/6
138,2100,2,5,2100/2/6
139,2110,7,5,输入错误
140,1890,10,5,输入错误
141,1900,12,5,1900/12/6
142,1930,13,5,输入错误
143,2077,0,5,输入错误
144,2100,1,5,2100/1/6
145,2110,2,5,输入错误
146,1890,7,5,输入错误
147,1900,10,5,1900/10/6
148,1930,12,5,1930/12/6
149,1990,13,5,输入错误
150,2100,0,5,输入错误
151,2110,1,5,输入错误
152,1890,2,5,输入错误
153,1900,7,5,1900/7/6
154,1930,10,5,1930/10/6
155,1990,12,5,1990/12/6
156,2077,13,5,输入错误
157,2110,0,5,输入错误
158,1890,1,5,输入错误
159,1900,2,5,1900/2/6
160,1930,7,5,1930/7/6
161,1990,10,5,1990/10/6
162,2077,12,5,2077/12/6
163,2100,13,5,输入错误
164,1890,0,15,输入错误
165,1900,1,15,1900/1/16
166,1930,2,15,1930/2/16
167,2077,10,15,2077/10/16
168,2100,12,15,2100/12/16
169,2110,13,15,输入错误
170,1900,0,15,输入错误
171,1930,1,15,1930/1/16
172,2100,10,15,2100/10/16
173,2110,12,15,输入错误
174,1890,13,15,输入错误
175,1930,0,15,输入错误
176,2077,2,15,2077/2/16
177,2110,10,15,输入错误
178,1890,12,15,输入错误
179,1900,13,15,输入错误
180,2077,1,15,2077/1/16
181,2100,2,15,2100/2/16
182,1890,10,15,输入错误
183,1900,12,15,1900/12/16
184,1930,13,15,输入错误
185,2077,0,15,输入错误
186,2100,1,15,2100/1/16
187,2110,2,15,输入错误
188,1900,10,15,1900/10/16
189,1930,12,15,1930/12/16
190,2100,0,15,输入错误
191,2110,1,15,输入错误
192,1890,2,15,输入错误
193,1930,10,15,1930/10/16
194,2077,13,15,输入错误
195,2110,0,15,输入错误
196,1890,1,15,输入错误
197,1900,2,15,1900/2/16
198,2077,12,15,2077/12/16
199,2100,13,15,输入错误
200,1890,0,25,输入错误
201,1900,1,25,1900/1/26
202,1930,2,25,1930/2/26
203,2077,10,25,2077/10/26
204,2100,12,25,2100/12/26
205,2110,13,25,输入错误
206,1900,0,25,输入错误
207,1930,1,25,1930/1/26
208,1990,2,25,1990/2/26
209,2077,7,25,2077/7/26
210,2100,10,25,2100/10/26
211,2110,12,25,输入错误
212,1890,13,25,输入错误
213,1930,0,25,输入错误
214,1990,1,25,1990/1/26
215,2077,2,25,2077/2/26
216,2100,7,25,2100/7/26
217,2110,10,25,输入错误
218,1890,12,25,输入错误
219,1900,13,25,输入错误
220,1990,0,25,输入错误
221,2077,1,25,2077/1/26
222,2100,2,25,2100/2/26
223,2110,7,25,输入错误
224,1890,10,25,输入错误
225,1900,12,25,1900/12/26
226,1930,13,25,输入错误
227,2077,0,25,输入错误
228,2100,1,25,2100/1/26
229,2110,2,25,输入错误
230,1890,7,25,输入错误
231,1900,10,25,1900/10/26
232,1930,12,25,1930/12/26
233,1990,13,25,输入错误
234,2100,0,25,输入错误
235,2110,1,25,输入错误
236,1890,2,25,输入错误
237,1900,7,25,1900/7/26
238,1930,10,25,1930/10/26
239,1990,12,25,1990/12/26
240,2077,13,25,输入错误
241,2110,0,25,输入错误
242,1890,1,25,输入错误
243,1900,2,25,1900/2/26
244,1930,7,25,1930/7/26
245,1990,10,25,1990/10/26
246,2077,12,25,2077/12/26
247,2100,13,25,输入错误
248,1890,0,31,输入错误
249,1900,1,31,1900/2/1
250,1930,2,31,输入错误
251,2077,10,31,2077/11/1
252,2100,12,31,2101/1/1
253,2110,13,31,输入错误
254,1900,0,31,输入错误
255,1930,1,31,1930/2/1
256,1990,2,31,输入错误
257,2077,7,31,2077/8/1
258,2100,10,31,2100/11/1
259,2110,12,31,输入错误
260,1890,13,31,输入错误
261,1930,0,31,输入错误
262,1990,1,31,1990/2/1
263,2077,2,31,输入错误
264,2100,7,31,2100/8/1
265,2110,10,31,输入错误
266,1890,12,31,输入错误
267,1900,13,31,输入错误
268,1990,0,31,输入错误
269,2077,1,31,2077/2/1
270,2100,2,31,输入错误
271,2110,7,31,输入错误
272,1890,10,31,输入错误
273,1900,12,31,1901/1/1
274,1930,13,31,输入错误
275,2077,0,31,输入错误
276,2100,1,31,2100/2/1
277,2110,2,31,输入错误
278,1890,7,31,输入错误
279,1900,10,31,1900/11/1
280,1930,12,31,1931/1/1
281,1990,13,31,输入错误
282,2100,0,31,输入错误
283,2110,1,31,输入错误
284,1890,2,31,输入错误
285,1900,7,31,1900/8/1
286,1930,10,31,1930/11/1
287,1990,12,31,1991/1/1
288,2077,13,31,输入错误
289,2110,0,31,输入错误
290,1890,1,31,输入错误
291,1900,2,31,输入错误
292,1930,7,31,1930/8/1
293,1990,10,31,1990/11/1
294,2077,12,31,2078/1/1
295,2100,13,31,输入错误
296,1890,0,32,输入错误
297,1900,1,32,输入错误
298,1930,2,32,输入错误
299,2077,10,32,输入错误
300,2100,12,32,输入错误
301,2110,13,32,输入错误
302,1900,0,32,输入错误
303,1930,1,32,输入错误
304,1990,2,32,输入错误
305,2077,7,32,输入错误
306,2100,10,32,输入错误
307,2110,12,32,输入错误
308,1890,13,32,输入错误
309,1930,0,32,输入错误
310,1990,1,32,输入错误
311,2077,2,32,输入错误
312,2100,7,32,输入错误
313,2110,10,32,输入错误
314,1890,12,32,输入错误
315,1900,13,32,输入错误
316,1990,0,32,输入错误
317,2077,1,32,输入错误
318,2100,2,32,输入错误
319,2110,7,32,输入错误
320,1890,10,32,输入错误
321,1900,12,32,输入错误
322,1930,13,32,输入错误
323,2077,0,32,输入错误
324,2100,1,32,输入错误
325,2110,2,32,输入错误
326,1890,7,32,输入错误
327,1900,10,32,输入错误
328,1930,12,32,输入错误
329,1990,13,32,输入错误
330,2100,0,32,输入错误
331,2110,1,32,输入错误
332,1890,2,32,输入错误
333,1900,7,32,输入错误
334,1930,10,32,输入错误
335,1990,12,32,输入错误
336,2077,13,32,输入错误
337,2110,0,32,输入错误
338,1890,1,32,输入错误
339,1900,2,32,输入错误
340,1930,7,32,输入错误
341,1990,10,32,输入错误
342,2077,12,32,输入错误
343,2100,13,32,输入错误
1,2024,2,28,2024/2/29
2,2024,2,29,2024/3/1
3,2024,2,30,输入错误
4,2024,7,19,2024/7/20
5,2024,7,31,2024/8/1
6,2024,11,11,2024/11/12
7,2024,11,30,2024/12/1
8,2024,11,31,输入错误
9,2024,12,20,2024/12/21
10,2024,12,31,2025/1/1
11,2000,2,27,2000/2/28
12,2000,2,29,2000/3/1
13,2000,2,31,输入错误
14,2000,3,14,2000/3/15
15,2000,3,31,2000/4/1
16,2000,6,19,2000/6/20
17,2000,6,30,2000/7/1
18,2000,6,31,输入错误
19,2000,12,22,2000/12/23
20,2000,12,31,2001/1/1
21,1995,2,1,1995/2/2
22,1995,2,28,1995/3/1
23,1995,2,29,输入错误
24,1995,8,11,1995/8/12
25,1995,8,31,1995/9/1
26,1995,9,21,1995/9/22
27,1995,9,30,1995/10/1
28,1995,9,31,输入错误
29,1995,12,12,1995/12/13
30,1995,12,31,1996/1/1
1,2070,1,14,2070/1/15
2,2024,2,28,2024/2/29
3,2024,2,29,2024/3/1
4,1990,9,30,1990/10/1
5,2000,12,31,2001/1/1
1,2000,1,14,2000/1/15
2,2000,1,28,2000/1/29
3,2000,1,29,2000/1/30
4,2000,1,30,2000/1/31
5,2000,1,31,2000/2/1
6,2000,2,15,2000/2/16
7,2000,2,28,2000/2/29
8,2000,2,29,2000/3/1
9,2000,2,30,输入错误
10,2000,2,31,输入错误
11,2000,9,20,2000/9/21
12,2000,9,28,2000/9/29
13,2000,9,29,2000/9/30
14,2000,9,30,2000/10/1
15,2000,9,31,输入错误
16,2000,12,7,2000/12/8
17,2000,12,28,2000/12/29
18,2000,12,29,2000/12/30
19,2000,12,30,2000/12/31
20,2000,12,31,2001/1/1
21,2024,3,10,2024/3/11
22,2024,3,28,2024/3/29
23,2024,3,29,2024/3/30
24,2024,3,30,2024/3/31
25,2024,3,31,2024/4/1
26,2024,2,19,2024/2/20
27,2024,2,28,2024/2/29
28,2024,2,29,2024/3/1
29,2024,2,30,输入错误
30,2024,2,31,输入错误
31,2024,11,21,2024/11/22
32,2024,11,28,2024/11/29
33,2024,11,29,2024/11/30
34,2024,11,30,2024/12/1
35,2024,11,31,输入错误
36,2024,12,1,2024/12/2
37,2024,12,28,2024/12/29
38,2024,12,29,2024/12/30
39,2024,12,30,2024/12/31
40,2024,12,31,2025/1/1
41,1890,1,14,输入错误
42,1890,1,28,输入错误
43,1890,1,29,输入错误
44,1890,1,30,输入错误
45,1890,1,31,输入错误
46,1890,2,15,输入错误
47,1890,2,28,输入错误
48,1890,2,29,输入错误
49,1890,2,30,输入错误
50,1890,2,31,输入错误
51,1890,9,20,输入错误
52,1890,9,28,输入错误
53,1890,9,29,输入错误
54,1890,9,30,输入错误
55,1890,9,31,输入错误
56,1890,12,7,输入错误
57,1890,12,28,输入错误
58,1890,12,29,输入错误
59,1890,12,30,输入错误
60,1890,12,31,输入错误
61,2110,1,14,输入错误
62,2110,1,28,输入错误
63,2110,1,29,输入错误
64,2110,1,30,输入错误
65,2110,1,31,输入错误
66,2110,2,15,输入错误
67,2110,2,28,输入错误
68,2110,2,29,输入错误
69,2110,2,30,输入错误
70,2110,2,31,输入错误
71,2110,9,20,输入错误
72,2110,9,28,输入错误
73,2110,9,29,输入错误
74,2110,9,30,输入错误
75,2110,9,31,输入错误
76,2110,12,7,输入错误
77,2110,12,28,输入错误
78,2110,12,29,输入错误
79,2110,12,30,输入错误
80,2110,12,31,输入错误
81,2024,0,16,输入错误
82,2024,0,28,输入错误
83,2024,0,29,输入错误
84,2024,0,30,输入错误
85,2024,0,31,输入错误
86,2000,0,17,输入错误
87,2000,0,28,输入错误
88,2000,0,29,输入错误
89,2000,0,30,输入错误
90,2000,0,31,输入错误
91,1993,0,18,输入错误
92,1993,0,28,输入错误
93,1993,0,29,输入错误
94,1993,0,30,输入错误
95,1993,0,31,输入错误
96,2024,13,16,输入错误
97,2024,13,28,输入错误
98,2024,13,29,输入错误
99,2024,13,30,输入错误
100,2024,13,31,输入错误
101,2000,13,17,输入错误
102,2000,13,28,输入错误
103,2000,13,29,输入错误
104,2000,13,30,输入错误
105,2000,13,31,输入错误
106,1993,13,18,输入错误
107,1993,13,28,输入错误
108,1993,13,29,输入错误
109,1993,13,30,输入错误
110,1993,13,31,输入错误
111,2000,5,0,输入错误
112,2000,6,0,输入错误
113,2000,2,0,输入错误
114,2000,12,0,输入错误
115,2024,7,0,输入错误
116,2024,6,0,输入错误
117,2024,2,0,输入错误
118,2024,12,0,输入错误
119,1995,5,0,输入错误
120,1995,4,0,输入错误
121,1995,2,0,输入错误
122,1995,12,0,输入错误
123,2000,5,32,输入错误
124,2000,6,32,输入错误
125,2000,2,32,输入错误
126,2000,12,32,输入错误
127,2024,7,32,输入错误
128,2024,6,32,输入错误
129,2024,2,32,输入错误
130,2024,12,32,输入错误
131,1995,5,32,输入错误
132,1995,4,32,输入错误
133,1995,2,32,输入错误
134,1995,12,32,输入错误
135,1890,0,14,输入错误
136,1890,0,28,输入错误
137,1890,0,29,输入错误
138,1890,0,30,输入错误
139,1890,0,31,输入错误
140,2110,0,19,输入错误
141,2110,0,28,输入错误
142,2110,0,29,输入错误
143,2110,0,30,输入错误
144,2110,0,31,输入错误
145,1890,13,21,输入错误
146,1890,13,28,输入错误
147,1890,13,29,输入错误
148,1890,13,30,输入错误
149,1890,13,31,输入错误
150,2110,13,9,输入错误
151,2110,13,28,输入错误
152,2110,13,29,输入错误
153,2110,13,30,输入错误
154,2110,13,31,输入错误
155,1895,8,0,输入错误
156,1895,9,0,输入错误
157,1895,2,0,输入错误
158,1895,12,0,输入错误
159,2105,10,32,输入错误
160,2105,9,32,输入错误
161,2105,2,32,输入错误
162,2105,12,32,输入错误
163,2105,8,0,输入错误
164,2105,6,0,输入错误
165,2105,2,0,输入错误
166,2105,12,0,输入错误
167,1895,10,32,输入错误
168,1895,11,32,输入错误
169,1895,2,32,输入错误
170,1895,12,32,输入错误
171,2024,0,0,输入错误
172,2021,0,0,输入错误
173,2000,0,0,输入错误
174,2024,13,32,输入错误
175,2021,13,32,输入错误
176,2000,13,32,输入错误
177,2024,13,0,输入错误
178,2021,13,0,输入错误
179,2000,13,0,输入错误
180,2024,0,32,输入错误
181,2021,0,32,输入错误
182,2000,0,32,输入错误
183,1890,0,0,输入错误
184,1890,0,32,输入错误
185,1890,13,0,输入错误
186,1890,13,32,输入错误
187,2110,0,0,输入错误
188,2110,0,32,输入错误
189,2110,13,0,输入错误
190,2110,13,32,输入错误
1,2000,1,14,2000/1/15
2,2000,1,28,2000/1/29
3,2000,1,29,2000/1/30
4,2000,1,30,2000/1/31
5,2000,1,31,2000/2/1
6,2000,2,15,2000/2/16
7,2000,2,28,2000/2/29
8,2000,2,29,2000/3/1
9,2000,2,30,输入错误
10,2000,2,31,输入错误
11,2000,9,20,2000/9/21
12,2000,9,28,2000/9/29
13,2000,9,29,2000/9/30
14,2000,9,30,2000/10/1
15,2000,9,31,输入错误
16,2000,12,7,2000/12/8
17,2000,12,28,2000/12/29
18,2000,12,29,2000/12/30
19,2000,12,30,2000/12/31
20,2000,12,31,2001/1/1
21,2024,3,10,2024/3/11
22,2024,3,28,2024/3/29
23,2024,3,29,2024/3/30
24,2024,3,30,2024/3/31
25,2024,3,31,2024/4/1
26,2024,2,19,2024/2/20
27,2024,2,28,2024/2/29
28,2024,2,29,2024/3/1
29,2024,2,30,输入错误
30,2024,2,31,输入错误
31,2024,11,21,2024/11/22
32,2024,11,28,2024/11/29
33,2024,11,29,2024/11/30
34,2024,11,30,2024/12/1
35,2024,11,31,输入错误
36,2024,12,1,2024/12/2
37,2024,12,28,2024/12/29
38,2024,12,29,2024/12/30
39,2024,12,30,2024/12/31
40,2024,12,31,2025/1/1
41,1890,1,14,输入错误
42,1890,1,28,输入错误
43,1890,1,29,输入错误
44,1890,1,30,输入错误
45,1890,1,31,输入错误
46,1890,2,15,输入错误
47,1890,2,28,输入错误
48,1890,2,29,输入错误
49,1890,2,30,输入错误
50,1890,2,31,输入错误
51,1890,9,20,输入错误
52,1890,9,28,输入错误
53,1890,9,29,输入错误
54,1890,9,30,输入错误
55,1890,9,31,输入错误
56,1890,12,7,输入错误
57,1890,12,28,输入错误
58,1890,12,29,输入错误
59,1890,12,30,输入错误
60,1890,12,31,输入错误
61,2110,1,14,输入错误
62,2110,1,28,输入错误
63,2110,1,29,输入错误
64,2110,1,30,输入错误
65,2110,1,31,输入错误
66,2110,2,15,输入错误
67,2110,2,28,输入错误
68,2110,2,29,输入错误
69,2110,2,30,输入错误
70,2110,2,31,输入错误
71,2110,9,20,输入错误
72,2110,9,28,输入错误
73,2110,9,29,输入错误
74,2110,9,30,输入错误
75,2110,9,31,输入错误
76,2110,12,7,输入错误
77,2110,12,28,输入错误
78,2110,12,29,输入错误
79,2110,12,30,输入错误
80,2110,12,31,输入错误
81,2024,0,16,输入错误
82,2024,0,28,输入错误
83,2024,0,29,输入错误
84,2024,0,30,输入错误
85,2024,0,31,输入错误
86,2000,0,17,输入错误
87,2000,0,28,输入错误
88,2000,0,29,输入错误
89,2000,0,30,输入错误
90,2000,0,31,输入错误
91,1993,0,18,输入错误
92,1993,0,28,输入错误
93,1993,0,29,输入错误
94,1993,0,30,输入错误
95,1993,0,31,输入错误
96,2024,13,16,输入错误
97,2024,13,28,输入错误
98,2024,13,29,输入错误
99,2024,13,30,输入错误
100,2024,13,31,输入错误
101,2000,13,17,输入错误
102,2000,13,28,输入错误
103,2000,13,29,输入错误
104,2000,13,30,输入错误
105,2000,13,31,输入错误
106,1993,13,18,输入错误
107,1993,13,28,输入错误
108,1993,13,29,输入错误
109,1993,13,30,输入错误
110,1993,13,31,输入错误
111,2000,5,0,输入错误
112,2000,6,0,输入错误
113,2000,2,0,输入错误
114,2000,12,0,输入错误
115,2024,7,0,输入错误
116,2024,6,0,输入错误
117,2024,2,0,输入错误
118,2024,12,0,输入错误
119,1995,5,0,输入错误
120,1995,4,0,输入错误
121,1995,2,0,输入错误
122,1995,12,0,输入错误
123,2000,5,32,输入错误
124,2000,6,32,输入错误
125,2000,2,32,输入错误
126,2000,12,32,输入错误
127,2024,7,32,输入错误
128,2024,6,32,输入错误
129,2024,2,32,输入错误
130,2024,12,32,输入错误
131,1995,5,32,输入错误
132,1995,4,32,输入错误
133,1995,2,32,输入错误
134,1995,12,32,输入错误
135,1890,0,14,输入错误
136,1890,0,28,输入错误
137,1890,0,29,输入错误
138,1890,0,30,输入错误
139,1890,0,31,输入错误
140,2110,0,19,输入错误
141,2110,0,28,输入错误
142,2110,0,29,输入错误
143,2110,0,30,输入错误
144,2110,0,31,输入错误
145,1890,13,21,输入错误
146,1890,13,28,输入错误
147,1890,13,29,输入错误
148,1890,13,30,输入错误
149,1890,13,31,输入错误
150,2110,13,9,输入错误
151,2110,13,28,输入错误
152,2110,13,29,输入错误
153,2110,13,30,输入错误
154,2110,13,31,输入错误
155,1895,8,0,输入错误
156,1895,9,0,输入错误
157,1895,2,0,输入错误
158,1895,12,0,输入错误
159,2105,10,32,输入错误
160,2105,9,32,输入错误
161,2105,2,32,输入错误
162,2105,12,32,输入错误
163,2105,8,0,输入错误
164,2105,6,0,输入错误
165,2105,2,0,输入错误
166,2105,12,0,输入错误
167,1895,10,32,输入错误
168,1895,11,32,输入错误
169,1895,2,32,输入错误
170,1895,12,32,输入错误
171,2024,0,0,输入错误
172,2021,0,0,输入错误
173,2000,0,0,输入错误
174,2024,13,32,输入错误
175,2021,13,32,输入错误
176,2000,13,32,输入错误
177,2024,13,0,输入错误
178,2021,13,0,输入错误
179,2000,13,0,输入错误
180,2024,0,32,输入错误
181,2021,0,32,输入错误
182,2000,0,32,输入错误
183,1890,0,0,输入错误
184,1890,0,32,输入错误
185,1890,13,0,输入错误
186,1890,13,32,输入错误
187,2110,0,0,输入错误
188,2110,0,32,输入错误
189,2110,13,0,输入错误
190,2110,13,32,输入错误
1,2070,1,14,2070/1/15
2,2024,2,28,2024/2/29
3,2024,2,29,2024/3/1
4,1990,9,30,1990/10/1
5,2000,12,31,2001/1/1
6,1890,1,14,输入错误
7,1890,1,28,输入错误
8,1890,1,29,输入错误
9,1890,1,30,输入错误
10,1890,1,31,输入错误
11,1890,2,15,输入错误
12,1890,2,28,输入错误
13,1890,2,29,输入错误
14,1890,2,30,输入错误
15,1890,2,31,输入错误
16,1890,9,20,输入错误
17,1890,9,28,输入错误
18,1890,9,29,输入错误
19,1890,9,30,输入错误
20,1890,9,31,输入错误
21,1890,12,7,输入错误
22,1890,12,28,输入错误
23,1890,12,29,输入错误
24,1890,12,30,输入错误
25,1890,12,31,输入错误
26,2110,1,14,输入错误
27,2110,1,28,输入错误
28,2110,1,29,输入错误
29,2110,1,30,输入错误
30,2110,1,31,输入错误
31,2110,2,15,输入错误
32,2110,2,28,输入错误
33,2110,2,29,输入错误
34,2110,2,30,输入错误
35,2110,2,31,输入错误
36,2110,9,20,输入错误
37,2110,9,28,输入错误
38,2110,9,29,输入错误
39,2110,9,30,输入错误
40,2110,9,31,输入错误
41,2110,12,7,输入错误
42,2110,12,28,输入错误
43,2110,12,29,输入错误
44,2110,12,30,输入错误
45,2110,12,31,输入错误
46,2024,0,16,输入错误
47,2024,0,28,输入错误
48,2024,0,29,输入错误
49,2024,0,30,输入错误
50,2024,0,31,输入错误
51,2000,0,17,输入错误
52,2000,0,28,输入错误
53,2000,0,29,输入错误
54,2000,0,30,输入错误
55,2000,0,31,输入错误
56,1993,0,18,输入错误
57,1993,0,28,输入错误
58,1993,0,29,输入错误
59,1993,0,30,输入错误
60,1993,0,31,输入错误
61,2024,13,16,输入错误
62,2024,13,28,输入错误
63,2024,13,29,输入错误
64,2024,13,30,输入错误
65,2024,13,31,输入错误
66,2000,13,17,输入错误
67,2000,13,28,输入错误
68,2000,13,29,输入错误
69,2000,13,30,输入错误
70,2000,13,31,输入错误
71,1993,13,18,输入错误
72,1993,13,28,输入错误
73,1993,13,29,输入错误
74,1993,13,30,输入错误
75,1993,13,31,输入错误
76,2000,5,0,输入错误
77,2000,6,0,输入错误
78,2000,2,0,输入错误
79,2000,12,0,输入错误
80,2024,7,0,输入错误
81,2024,6,0,输入错误
82,2024,2,0,输入错误
83,2024,12,0,输入错误
84,1995,5,0,输入错误
85,1995,4,0,输入错误
86,1995,2,0,输入错误
87,1995,12,0,输入错误
88,2000,5,32,输入错误
89,2000,6,32,输入错误
90,2000,2,32,输入错误
91,2000,12,32,输入错误
92,2024,7,32,输入错误
93,2024,6,32,输入错误
94,2024,2,32,输入错误
95,2024,12,32,输入错误
96,1995,5,32,输入错误
97,1995,4,32,输入错误
98,1995,2,32,输入错误
99,1995,12,32,输入错误
